City,CityCode,District,DistrictCode,Ward,WardCode,Level,English,FullAddress,name,formatted_address,place_id,reference,id,geometry_location_lng,geometry_location_lat,geometry_viewport_southwest_lng,geometry_viewport_southwest_lat,geometry_viewport_northeast_lng,geometry_viewport_northeast_lat,types,center_lat,center_lng,radius
Thành phố Hồ Chí Minh,79,Quận 7,778,Phường Tân Kiểng,27472,Phường,,Phường Tân Kiểng Quận 7 Thành phố Hồ Chí Minh,Tân Kiểng,"Tân Kiểng, Quận 7, Hồ Chí Minh, Vietnam",ChIJd9xlHHcvdTERoXW8nGjR_7U,CmRbAAAAn0pNsA_yFx2xFXZbgl0r4p47sz8WSiphj2QO7iAJaNHyHDHfDuNCAuCnaGuBt-F6zXod4ChR9UG4b_q1C6GUYXC5pQnQJ314gGHTS1_DzyP4RNuh0MF0cyIHWchsqNE8EhDRUC4o8CarOH56gLHfJ8wtGhRHHDl6fHO5_iaLzwmCRir67vyMMw,76ec548c5980505171ca4e4262b76f0f32020232,106.7101958,10.7491228,106.7030511,10.7449781,106.714995,10.752448,"administrative_area_level_3,political",10.74871305,106.70902305,772.8906016370846
Thành phố Hồ Chí Minh,79,Quận 7,778,Phường Tân Hưng,27475,Phường,,Phường Tân Hưng Quận 7 Thành phố Hồ Chí Minh,Tân Hưng,"Tân Hưng, Quận 7, Hồ Chí Minh, Vietnam",ChIJcbItTaIvdTERWDippyDQVHg,CmRbAAAAxCNQLu_IUIq5aFiNJyCeGXbVXOTRv7-o_6Vs1m0XgkyEHqoO7wKM5FuzusiBfvwRxcRfSQ90XIMjc-A4-boVzPQEONBTBdFgmkdRrOEI9bGH5oMeET1UxotgZjFoLustEhBqWjWlKxF5FGQLxEqExB6bGhRsfLGtzvqwaQszAnnQAfqVlSL5Gw,d5b69f5977cbfe9e5a3005423fa0edf6c16a9417,106.6969285,10.7430482,106.6900969,10.724396,106.703789,10.752448,"administrative_area_level_3,political",10.738422,106.69694295,1728.6011892788945
Thành phố Hồ Chí Minh,79,Quận 7,778,Phường Bình Thuận,27478,Phường,,Phường Bình Thuận Quận 7 Thành phố Hồ Chí Minh,Bình Thuận,"Bình Thuận, Quận 7, Hồ Chí Minh, Vietnam",ChIJG729HX8ldTERY6OFrrGMrWI,CmRbAAAA-i8dbnuopUujG7WE84C3HisSb188tPx8TbRVn-wOgwxrdv0zAjhJoHb5t3hrHA2nCuVO0ELtGsz_NibdTHFzU7QRhduwzVQULN-y-5BFAsspTwzaGgOhUV6eE3jCAJpHEhBOIhxR0Uiy_XsfDjyPeFhjGhT1dx7VoqfgP-CST3YX45vHwBP_Tw,c7f89766161724019d67e5537330ed4521070163,106.7205154,10.7417516,106.7158422,10.7373856,106.7305038,10.7500864,"sublocality_level_1,sublocality,political",10.743736,106.723173,1067.0427034556828
Thành phố Hồ Chí Minh,79,Quận 7,778,Phường Tân Quy,27481,Phường,,Phường Tân Quy Quận 7 Thành phố Hồ Chí Minh,Tân Quy,"Tân Quy, Quận 7, Hồ Chí Minh, Vietnam",ChIJhy0Q5JwvdTERVrmHVoOhL18,CmRbAAAAWKt7dDe1gX63ZRDscf7Zw866m-FuItagWsVzqszZMJRaIGsc5c0CuEDkyF_Ry1Uye4GYD6TPAJ8fsGaRlmVetExrHSYADa34NVgg2etEwTzYZTT8ItTPSGzYyPLuCpEQEhDT1hMs6IvygwuLPTzs9htNGhTGk9fSC9N2MvR45c2VssJEcTeDFg,63596a4ea38200e9e8536fc41b57931d9663cbf9,106.7101958,10.7409584,106.703563,10.7383556,106.7159763,10.7454238,"sublocality_level_1,sublocality,political",10.7418897,106.70976965,783.2117794215737
Thành phố Hồ Chí Minh,79,Quận 7,778,Phường Phú Thuận,27484,Phường,,Phường Phú Thuận Quận 7 Thành phố Hồ Chí Minh,Phú Thuận,"Phú Thuận, Quận 7, Hồ Chí Minh, Vietnam",ChIJzZidGxMldTERUVI8NyIArHE,CmRbAAAA226qh9PcnVG4Z5cdUwte6paMKEUspqOp9qumnxGJf_3h437FcfNKQPzzSpKKDcdLuziiO7590bwD9Th8MZEmFHhdLrpT2H6sC9fpWWhpcL4119bkhScmkC3SO0aUcOapEhD9Y_g60tQYadiTT153sKmTGhSZXkKMZt7RY2_qm7BKxT6a2ujUVw,da3d58e1e2abfa8b850f6c2707f2f4058159e0f7,106.7426687,10.7299898,106.7304822,10.7130915,106.7691708,10.7452406,"sublocality_level_1,sublocality,political",10.72916605,106.7498265,2766.1966624940833
Thành phố Hồ Chí Minh,79,Quận 7,778,Phường Tân Phú,27487,Phường,,Phường Tân Phú Quận 7 Thành phố Hồ Chí Minh,Tân Phú,"Tân Phú, Quận 7, Hồ Chí Minh, Vietnam",ChIJ66sqM2AldTERrU1zPPuPtEE,CmRbAAAAQj389QkFCgvVxFyzNIB7I4qS5af8TQF_INVuo5h2OLPxPCfxPyoQAlM5iKh5qUbP7b38kbHKlPu0IYWuhXZPL5JeP91aLEofYMYqaX7w1Cm1SuKLh92m9eBWh0gj6hNdEhCPCUpHuT_4ZMG99mr3yBg-GhSsqqGHhJbZSSGJA9g_5SJd_-BHDQ,d0b0561db93790ab6602e9fce4ef6bd1d864148c,106.7264125,10.7251014,106.7121219,10.7119417,106.7338491,10.7384078,"sublocality_level_1,sublocality,political",10.72517475,106.7229855,1889.2875198120814
Thành phố Hồ Chí Minh,79,Quận 7,778,Phường Tân Phong,27490,Phường,,Phường Tân Phong Quận 7 Thành phố Hồ Chí Minh,Tân Phong,"Tân Phong, Quận 7, Hồ Chí Minh, Vietnam",ChIJCXxrrpYvdTERxWOLfebFQDQ,CmRbAAAA5ErXSIN8I4yuepHnAJspj7r09MBQd_Jn3n0Lr9f73KNH0Un6FbKNPFDYJUQ_oW8coThQYYDnBJHrqZZOEoZc_GCWXSktepgGFvkpvQ_mfR-WjETdUVmXcGnUFKcwRrlwEhCemGn_QLL7Dv4baBYYuyWJGhTH2jQoyISBft6jiXn1UlhmefxSaQ,91e7e6f74cf6dacf4fb3d8a01731acaf83b0907f,106.702825,10.7318388,106.6901104,10.7192088,106.7206135,10.7398563,"sublocality_level_1,sublocality,political",10.72953255,106.70536195,2022.156196284246
Thành phố Hồ Chí Minh,79,Quận 7,778,Phường Phú Mỹ,27493,Phường,,Phường Phú Mỹ Quận 7 Thành phố Hồ Chí Minh,Phú Mỹ,"Phú Mỹ, Quận 7, Hồ Chí Minh, Vietnam",ChIJbW6OLU4ldTERupIsa5lE_iE,CmRbAAAAKilTaR5Nz_U6wzFzWKbXRrYu5sM0L79Yi49ibk1ZTnxRk_xp321gd9ISw1-SXRvgmZXLBTtl3nyOtg06L_A9SkQAFV_E1CJSlq7xVszeKxoRhvQVRPFrvyyBbXdXTuijEhD1-5IQG0yqpE0WtWdncW9wGhTblgB4gKJREYo6vya7tuD7-x2wRQ,69775cbf008865b549bfa3c7bdbe780862125493,106.7382072,10.7081313,106.7247687,10.6980958,106.7514038,10.7307776,"sublocality_level_1,sublocality,political",10.7144367,106.73808625000001,2326.3696771610576
Thành phố Hồ Chí Minh,79,Huyện Củ Chi,783,Thị trấn Củ Chi,27496,Thị trấn,,Thị trấn Củ Chi Huyện Củ Chi Thành phố Hồ Chí Minh,Củ Chi,"Củ Chi, Hồ Chí Minh, Vietnam",ChIJ5wxtMH4rCzER4wUEpIU3QgM,CmRbAAAAk3LiYMvsNgOa9ccdDKD1ftF6mWdc-A5ixxJmgwukeO5dj0od0SQtFQGOUiTf5ZiLPrAk_ZUhsT8x-9lpCQ8-cKFNSldZtsrVMzjLFx0ax7hYYyyJ81dIPEoDtAv--1_zEhD8mwmpVhqSiboHBEUOOJ3mGhTdULlPlgQH-PUEhjbbre1a5yS7sw,b645100781d55098cc92bf820d51ac1c7eab318a,106.4965434,10.972192,106.4802647,10.9622587,106.5076447,10.9860204,"sublocality_level_1,sublocality,political",10.97413955,106.4939547,1993.406599372125
Thành phố Hồ Chí Minh,79,Huyện Củ Chi,783,Xã Phú Mỹ Hưng,27499,Xã,,Xã Phú Mỹ Hưng Huyện Củ Chi Thành phố Hồ Chí Minh,Phú Mỹ Hưng,"Phú Mỹ Hưng, Củ Chi, Hồ Chí Minh, Vietnam",ChIJmxgwmcczCzERYIyqM2NfrqE,CmRbAAAAwwHCCoeBC0n_0WlfdxEDmChryJNEtunkpANmDeX2pclLBW42QikDgLTlwnNYd1mIH42hUerdq5XFudIuYqSaQDPW7GWzuKMDNjfC2Et3L91IIpgnBu-ceo15Xv52qnEaEhD6Iyt_NBWIhdPoCvJ90XMnGhQt__lXwsYw96VKvNRLnYS6cv1eJA,c02f2e8b792415b2113b5155562f81026ac3be37,106.458256,11.1246502,106.4373923,11.0823954,106.4884187,11.1601547,"sublocality_level_1,sublocality,political",11.12127505,106.4629055,5138.760207451808
